,bus_id,search_name,name,search_address,address_y,max_seats,risk_level,inspect_score,price,cat_1,cat_2,zip_code,latitude,longitude,review_count,rating,closed
82,angry-chicken-los-angeles-2,ANGRY CHICKEN,Angry Chicken,1275 S BRONSON AVE,1275 S BRONSON AVE,30,3,96.0,$,chicken_wings,chicken_wings,90019,34.0478636214,-118.325434774,47,4.5,False
83,anko-los-angeles,ANKO,Anko,400 S WESTERN AVE,400 S WESTERN AVE,60,2,94.0,$,desserts,coffee,90020,34.0669778876,-118.308766644,375,4.0,False
84,annies-bakery-cafe-los-angeles,ANNIES BAKERY CAFE,Annie's Bakery Cafe,2117 W 6TH ST,2117 W 6TH ST,30,3,94.0,$,bakeries,cafes,90057,34.0597913,-118.2750983,29,4.0,False
85,antequera-de-oaxaca-los-angeles,ANTEQUERA,Antequera De Oaxaca,5200 MELROSE AVE,5200 MELROSE AVE,30,3,96.0,$,mexican,mexican,90038,34.0833320618,-118.313819885,126,4.0,False
86,antigua-bread-los-angeles-9,ANTIGUA BREAD,Antigua Bread,5703 N FIGUEROA ST,5703 N FIGUEROA ST,60,3,95.0,$,coffee,bakeries,90042,34.10994,-118.19287,319,4.0,False
87,antigua-coffee-house-los-angeles-3,ANTIGUA CULTURAL COFFEE,Antigua Coffee House,3400 N FIGUEROA ST,3400 N FIGUEROA ST,30,2,92.0,$,coffee,coffee,90065,34.0873694,-118.2175073,236,4.5,False
88,dona-bibis-restaurant-los-angeles-3,ANTOJITOS BIBI,Dona Bibi's Restaurant,2400 W 7TH ST,2400 W 7TH ST,60,3,91.0,$,honduran,honduran,90057,34.0577596,-118.2803144,52,4.0,False
89,antojitos-hondurenos-los-angeles-2,ANTOJITOS HONDURENO,Antojitos Hondurenos,2701 1/4 S VERMONT AVE,2701 1/4 S VERMONT AVE,30,3,99.0,$$,mexican,mexican,90007,34.030197,-118.291939,2,4.0,False
90,el-paisa-antojitos-mexicanos-los-angeles,ANTOJITOS MEXICANO PAISA,El Paisa Antojitos Mexicanos,106 N AVENUE 58,106 N AVENUE 58,30,2,96.0,,mexican,mexican,90037,33.9895935,-118.2742538,1,1.0,False
91,antonios-restaurant-los-angeles,ANTONIOS,Antonio's Restaurant,7470 MELROSE AVE,7470 MELROSE AVE,151,3,96.0,$$,mexican,mexican,90046,34.0833625793,-118.352798462,210,3.5,False
92,arado-japanese-restaurant-los-angeles,ARADO JAPANESE RESTAURANT,Arado Japanese Restaurant,4001 WILSHIRE BLVD,4001 WILSHIRE BLVD,60,3,92.0,$$,japanese,sushi,90010,34.0621129,-118.3145,166,3.5,False
93,aras-pastry-los-angeles,ARAS PASTRY,Ara's Pastry,4945 HOLLYWOOD BLVD,4945 HOLLYWOOD BLVD,30,2,95.0,$$,bakeries,bakeries,90027,34.1018949,-118.2974824,50,4.0,False
94,arashi-sushi-los-angeles,ARASHI SUSHI,Arashi Sushi,1111 S HOPE ST,1111 S HOPE ST,60,3,91.0,$$,sushi,japanese,90015,34.0421028137,-118.263687134,560,4.0,False
95,arax-bakery-los-angeles,ARAX BAKERY,Arax Bakery,4871 SANTA MONICA BLVD,4871 SANTA MONICA BLVD,30,2,98.0,$,bakeries,bakeries,90029,34.0909849,-118.2955269,16,5.0,False
96,arbys-los-angeles-3,ARBYS ROAST BEEF,Arby's,5920 W SUNSET BLVD,5920 W SUNSET BLVD,30,3,98.0,$,hotdogs,sandwiches,90028,34.0978951,-118.3187871,84,3.5,False
97,arctic-hotspot-bakery-and-cafe-los-angeles-6,ARCTIC HOTSPOT,Arctic Hotspot Bakery & Cafe,2509 E 4TH ST,2509 E 4TH ST,30,2,90.0,$,bakeries,cafes,90033,34.040029943,-118.210348561,139,4.5,False
98,ardas-cafe-los-angeles,ARDAS CAFE,Arda's Cafe,418 W 6TH ST,418 W 6TH ST,30,3,95.0,$,sandwiches,breakfast_brunch,90014,34.04746,-118.25385,139,3.5,False
99,the-empanada-factory-los-angeles,ARGENTINIAN EMPANADAS,The Empanada Factory,2513 S ROBERTSON BLVD,2513 S ROBERTSON BLVD,30,3,97.0,$,argentine,latin,90034,34.0387458801,-118.388565063,225,4.0,False
100,armandos-bakery-los-angeles,ARMANDOS BAKERY,Armando's Bakery,2938 E WHITTIER BLVD,2938 E WHITTIER BLVD,30,2,92.0,$,bakeries,bakeries,90023,34.0306864679,-118.207575157,1,5.0,False
101,armons-restaurant-los-angeles,ARMONS RESTAURANT,Armon's Restaurant,5056 EAGLE ROCK BLVD,5056 EAGLE ROCK BLVD,60,3,95.0,$,newamerican,breakfast_brunch,90041,34.1386070251,-118.21383667,252,4.0,False
102,mortons-the-steakhouse-los-angeles-2,ARNIE MORTONS OF CHICAGO,Morton's The Steakhouse,735 S FIGUEROA ST,735 S FIGUEROA ST,151,3,97.0,$$$,steak,steak,90017,34.0491881186,-118.260717867,545,3.5,False
103,aroma-restaurant-los-angeles,AROMA RESTAURANT,Aroma Restaurant,2903 W SUNSET BLVD,2903 W SUNSET BLVD,60,3,93.0,$$,italian,italian,90026,34.0832762,-118.2734832,283,4.5,False
104,the-arsenal-los-angeles-2,ARSENAL BAR,The Arsenal,12012 PICO BLVD,12012 PICO BLVD,150,3,94.0,$$,lounges,tradamerican,90064,34.0295863,-118.4495683,597,4.0,False
105,arts-famous-chili-dog-stand-los-angeles-3,ARTS CHILI DOG STAND,Art's Famous Chili Dog Stand,1410 W FLORENCE AVE,1410 W FLORENCE AVE,30,2,94.0,$,hotdog,hotdogs,90047,33.9743528108,-118.300571979,30,4.0,False
106,arts-district-brewing-company-los-angeles,ARTS DISTRICT BREWING CO. - MAIN & BACK BAR,Arts District Brewing Company,828 E TRACTION AVE,828 E TRACTION AVE,60,2,98.0,$$,newamerican,arcades,90013,34.0446217617,-118.235323801,483,4.0,False
107,arts-district-brewing-company-los-angeles,ARTS DISTRICT BREWING CO. - OUTDOOR BAR,Arts District Brewing Company,828 E TRACTION AVE,828 E TRACTION AVE,30,1,99.0,$$,newamerican,arcades,90013,34.0446217617,-118.235323801,483,4.0,False
108,arturos-tacos-los-angeles,ARTUROS TACOS,Arturo's Tacos,6319 S AVALON BLVD,6319 S AVALON BLVD,30,3,90.0,$,mexican,mexican,90003,33.98183,-118.26551,13,2.5,False
109,asahi-ramen-los-angeles,ASAHI RAMEN,Asahi Ramen,2027 SAWTELLE BLVD,2027 SAWTELLE BLVD,60,3,95.0,$,ramen,ramen,90025,34.040196,-118.443208,642,3.5,False
110,asakuma-rice-west-hollywood,ASAKUMA RICE,Asakuma Rice,848 N LA CIENEGA BLVD,848 N LA CIENEGA BLVD,150,3,94.0,$$,chinese,sushi,90069,34.086597,-118.376091,175,3.0,False
111,asianya-los-angeles-2,ASIANYA,Asianya,11660 GATEWAY BLVD,11660 GATEWAY BLVD,150,3,87.0,$$,asianfusion,ramen,90064,34.0290119615,-118.442860601,180,3.5,False
112,aslan-catering-los-angeles-2,ASLAN CATERING,Aslan Catering,2750 COLORADO BLVD,2750 COLORADO BLVD,30,3,98.0,$$,mediterranean,greek,90041,34.142631,-118.22567,81,4.5,False
113,astro-burger-los-angeles,ASTRO BURGERS,Astro Burger,5601 MELROSE AVE,5601 MELROSE AVE,60,3,92.0,$,burgers,hotdogs,90038,34.0837167618,-118.322403667,343,3.5,False
114,astro-family-restaurant-los-angeles,ASTRO FAMILY RESTAURANT,Astro Family Restaurant,2300 FLETCHER DR,2300 FLETCHER DR,150,3,94.0,$$,diners,tradamerican,90039,34.1044075,-118.2590119,277,3.0,False
115,atitlan-express-los-angeles,ATITLAN EXPRESS,Atitlan Express,1624 W 6TH ST,1624 W 6TH ST,30,3,93.0,$,breakfast_brunch,latin,90017,34.0570183,-118.2699738,8,3.5,False
116,attari-sandwich-shop-west-los-angeles,ATTARI GRILL,Attari Sandwich Shop,1388 WESTWOOD BLVD,1388 WESTWOOD BLVD,60,3,94.0,$$,sandwiches,persian,90024,34.0554420601,-118.441608187,474,4.0,False
117,attari-sandwich-shop-west-los-angeles,ATTARI SANDWICHES,Attari Sandwich Shop,1388 WESTWOOD BLVD,1388 WESTWOOD BLVD,60,3,94.0,$$,sandwiches,persian,90024,34.0554420601,-118.441608187,474,4.0,False
118,atticus-coffee-and-dessert-los-angeles,ATTICUS,Atticus Coffee & Dessert,6015 W 3RD ST,6015 W 3RD ST,30,1,90.0,$,icecream,bakeries,90036,34.0703353882,-118.351799011,119,4.0,True
119,atticus-creamery-and-pies-los-angeles,ATTICUS CREAMERY,Atticus Creamery & Pies,10893 W PICO BLVD,10893 W PICO BLVD,30,2,90.0,$$,desserts,icecream,90064,34.039959,-118.429512,430,4.5,False
120,atticus-creamery-and-pies-los-angeles,ATTICUS ICECREAM AND PIES,Atticus Creamery & Pies,10893 W PICO BLVD,10893 W PICO BLVD,30,2,90.0,$$,desserts,icecream,90064,34.039959,-118.429512,430,4.5,False
